Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
8/17/2011,Tudou Holdings Limited ,TUDO,Credit Suisse/ Deutsche Bank Securities,$29.00 ,$25.11 ,$25.59 ,-11.76%,($3.89),($3.41),2,Missed
10/14/2011,Ubiquiti Networks ,UBNT,UBS Investment Bank/ Deutsche Bank Securities/ Raymond James,$15.00 ,$16.50 ,$17.50 ,16.67%,$1.50 ,$2.50 ,1,
10/19/2011,ZELTIQ Aesthetics ,ZLTQ," J.P. Morgan/ Goldman, Sachs & Co. ",$13.00 ,$14.50 ,$15.50 ,19.23%,$1.50 ,$2.50 ,1,
10/25/2011,Committed Capital Acquisition  ,CCACU,Broadband Capital Management,$5.00 ,$5.10 ,$5.10 ,2.00%,$0.10 ,$0.10 ,1,
11/3/2011,Enduro Royalty Trust,NDRO,"Barclays Capital/ Citigroup/ Goldman, Sachs/ RBC Capital Markets/ Wells Fargo Securities",$22.00 ,$21.75 ,$21.26 ,-3.36%,($0.25),($0.74),1,
11/4/2011,Groupon ,GRPN,"Morgan Stanley/ Goldman, Sachs/ Credit Suisse",$20.00 ,$28.00 ,$26.11 ,30.55%,$8.00 ,$6.11 ,3,
11/4/2011,"Rentech Nitrogen Partners, L.P. ",RNF,Morgan Stanley/ Credit Suisse,$20.00 ,$20.00 ,$19.85 ,-0.75%,$0.00 ,($0.15),2,Missed
11/8/2011,Selway Capital Acquisition ,SWCAU,Aegis Capital/ Chardan Capital Markets,$10.00 ,$10.00 ,$9.95 ,-0.50%,$0.00 ,($0.05),1,
11/9/2011,Imperva ,IMPV,J.P. Morgan/ Deutsche Bank Securities,$18.00 ,$23.00 ,$24.00 ,33.33%,$5.00 ,$6.00 ,3,
11/11/2011,Chesapeake Granite Wash Trust ,CHKR,Morgan Stanley/ Raymond James,$19.00 ,$19.00 ,$18.87 ,-0.68%,$0.00 ,($0.13),1,
11/11/2011,"LRR Energy, L.P. ",LRE,Wells Fargo Securities,$19.00 ,$19.00 ,$19.05 ,0.26%,$0.00 ,$0.05 ,1,
11/11/2011,NewLink Genetics ,NLNK,Stifel Nicolaus Weisel/ Canaccord Genuity,$7.00 ,$7.00 ,$7.08 ,1.14%,$0.00 ,$0.08 ,1,
11/16/2011,Clovis Oncology ,CLVS,J.P. Morgan/ Credit Suisse,$13.00 ,$13.05 ,$12.56 ,-3.38%,$0.05 ,($0.44),2,Missed
11/16/2011,InvenSense ,INVN,Goldman Sachs/Morgan Stanley,$7.50 ,$8.30 ,$8.90 ,18.67%,$0.80 ,$1.40 ,2,
11/17/2011,Angie’s List  ,ANGI,BofA Merrill Lynch,$13.00 ,$18.00 ,$16.28 ,25.23%,$5.00 ,$3.28 ,3,
11/17/2011,Delphi Automotive PLC  ,DLPH,"Goldman, Sachs/ J.P. Morgan",$22.00 ,$21.50 ,$21.33 ,-3.05%,($0.50),($0.67),1,
11/18/2011,Digital Domain Media Group ,DDMG,Roth Capital Partners,$8.50 ,$8.50 ,$7.15 ,-15.88%,$0.00 ,($1.35),1,
11/18/2011,Intermolecular ,IMI,Morgan Stanley/ J.P. Morgan/ Barclays Capital,$10.00 ,$10.00 ,$9.50 ,-5.00%,$0.00 ,($0.50),1,
11/18/2011,Manning & Napier ,MN,BofA Merrill Lynch,$12.00 ,$12.00 ,$12.00 ,0.00%,$0.00 ,$0.00 ,1,
11/18/2011,Mattress Firm Holding  ,MFRM,Barclays Capital/ UBS Investment Bank/ William Blair & Company,$19.00 ,$22.00 ,$22.00 ,15.79%,$3.00 ,$3.00 ,3,
11/23/2011,BlackRock Utility & Infrastructure Trust (BUI),BUI,Morgan Stanley/ Citigroup/ BofA Merrill Lynch/ UBS Investment Bank/ Wells Fargo Securities/ Ameriprise Financial Services/ RBC Capital Markets,$20.00 ,$20.00 ,$20.00 ,0.00%,$0.00 ,$0.00 ,1,
12/2/2011,Vanguard Energy ,VNGEU,Paulson Investment,$1.00 ,$1.15 ,$1.15 ,15.00%,$0.15 ,$0.15 ,1,
12/9/2011,Memorial Production Partners LP ,MEMP,Citigroup/ Raymond James/ Wells Fargo Securities,$19.00 ,$18.82 ,$19.79 ,4.16%,($0.18),$0.79 ,1,
12/9/2011,"Rose Rock Midstream, L.P. ",RRMS,Barclays Capital/ Citigroup/ Deutsche Bank Securities,$20.00 ,$20.50 ,$20.00 ,0.00%,$0.50 ,$0.00 ,2,
12/13/2011,Jive Software  ,JIVE,"Morgan Stanley/ Goldman, Sachs",$12.00 ,$15.12 ,$15.05 ,25.42%,$3.12 ,$3.05 ,3,
12/14/2011,Sanchez Energy ,SN,Johnson Rice & Company/ Macquarie Capital,$22.00 ,$20.00 ,$18.25 ,-17.05%,($2.00),($3.75),1,
12/15/2011,Bonanza Creek Energy ,BCEI,Morgan Stanley/ Credit Suisse,$17.00 ,$15.50 ,$13.61 ,-19.94%,($1.50),($3.39),1,
12/15/2011,Laredo Petroleum Holdings ,LPI,J.P. Morgan,$17.00 ,$17.25 ,$18.10 ,6.47%,$0.25 ,$1.10 ,1,
12/15/2011,Michael Kors Holdings ,KORS,"Morgan Stanley/ J.P. Morgan/ Goldman, Sachs & Co.",$20.00 ,$25.00 ,$24.20 ,21.00%,$5.00 ,$4.20 ,3,
12/15/2011,"Mid-Con Energy Partners, LP  ",MCEP,RBC Capital Markets,$18.00 ,$17.72 ,$18.05 ,0.28%,($0.28),$0.05 ,1,
12/16/2011,"Inergy Midstream, L.P. ",NRGM,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch/ Credit Suisse/ Wells Fargo Securities,$17.00 ,$17.00 ,$17.65 ,3.82%,$0.00 ,$0.65 ,1,
12/16/2011,Zynga  ,ZNGA,"Morgan Stanley/ Goldman, Sachs",$10.00 ,$11.00 ,$9.50 ,-5.00%,$1.00 ,($0.50),3,
1/22/2010,Cellu Tissue Holdings ,CLU,Goldman Sachs/J.P. Morgan/BofA Merrill Lynch,$13.00 ,$12.30 ,$11.90 ,-8.46%,($0.70),($1.10),1,
1/22/2010,Chesapeake Lodging Trust ,CHSP,J.P. Morgan/Dutsche Bank/FBR,$20.00 ,$19.25 ,$19.00 ,-5.00%,($0.75),($1.00),1,
1/22/2010,Symetra Financial ,SYA,BofA/JP Morgan/Goldman Sachs/Barclays Capital,$12.00 ,$12.70 ,$12.75 ,6.25%,$0.70 ,$0.75 ,1,
1/26/2010,Andatee China Marine Fuel Services ,AMCF,Rodman Renshaw/Newbridge,$6.30 ,$6.30 ,$5.77 ,-8.41%,$0.00 ,($0.53),1,
1/28/2010,IFM Investments Limited ,CTC,Goldman Sachs/Morgan Stanley,$7.00 ,$7.15 ,$7.30 ,4.29%,$0.15 ,$0.30 ,1,
1/29/2010,China Electric Motor ,CELM,Roth Capital/West Park Capital,$4.50 ,$4.70 ,$4.45 ,-1.11%,$0.20 ,($0.05),1,
2/3/2010,Ironwood Pharmaceutical ,IRWD,J.P.Morgan/Morgan Stanley/Credit Suisse,$11.25 ,$11.31 ,$11.65 ,3.56%,$0.06 ,$0.40 ,1,
2/9/2010,Solar Capital ,SLRC,Citi/J.P. Morgan/Morgan Stanley/Sun Trust,$18.75 ,$17.80 ,$18.00 ,-4.00%,($0.95),($0.75),1,
2/10/2010,Piedmont Office Trust Realty ,PDM,Morgan Stanley/J.P. Morgan,$14.50 ,$14.75 ,$15.60 ,7.59%,$0.25 ,$1.10 ,1,
2/10/2010,Terreno Realty ,TRNO,Goldman Sachs,$20.00 ,$18.75 ,$18.65 ,-6.75%,($1.25),($1.35),1,
2/11/2010,Generac Holdings ,GNRC,J.P. Morgan/Goldman Sachs,$13.00 ,$13.00 ,$12.84 ,-1.23%,$0.00 ,($0.16),1,
2/11/2010,Graham Packaging ,GRM,Citi/Goldman Sachs/Deutsche Bank,$10.00 ,$10.00 ,$10.20 ,2.00%,$0.00 ,$0.20 ,1,
2/11/2010,QuinStreet ,QNST,Credit Suisse/BofA Merrill Lynch/J.P. Morgan,$15.00 ,$15.10 ,$15.00 ,0.00%,$0.10 ,$0.00 ,1,
2/26/2010,Sprott Physical Gold Trust ,PHYS,Morgan Stanley/RBC,$10.00 ,$9.65 ,$9.59 ,-4.10%,($0.35),($0.41),1,
3/1/2010,Anthera Phamaceuticals ,ANTH,Deutsche Bank,$7.00 ,$7.00 ,$7.01 ,0.14%,$0.00 ,$0.01 ,1,
3/10/2010,Baltic Trading Limited ,BALT,Morgan Stanley/Dahlman Rose,$14.00 ,$14.00 ,$13.96 ,-0.29%,$0.00 ,($0.04),1,
3/11/2010,Sensata Technologies ,ST,Morgan Stanley/Barclays Capital/Goldman Sachs,$18.00 ,$18.00 ,$18.50 ,2.78%,$0.00 ,$0.50 ,1,
3/12/2010,AVEO Pharmaceuticals ,AVEO,J.P. Morgan/Morgan Stanley,$9.00 ,$8.25 ,$9.00 ,0.00%,($0.75),$0.00 ,1,
3/12/2010,Crude Carriers,CRU,UBS Investment Bank/BofA Merrill Lynch/Wells Fargo Securities,$19.00 ,$19.00 ,$19.00 ,0.00%,$0.00 ,$0.00 ,1,
3/16/2010,Financial Engines ,FNGN,Goldman Sachs,$12.00 ,$14.95 ,$17.25 ,43.75%,$2.95 ,$5.25 ,2,
3/24/2010,Calix Networks ,CALX,Goldman Sachs/Morgan Stanley,$13.00 ,$17.00 ,$15.10 ,16.15%,$4.00 ,$2.10 ,2,
3/24/2010,First Interstate BancSystem ,FIBK,Barclays Capital,$14.50 ,$15.98 ,$15.70 ,8.28%,$1.48 ,$1.20 ,2,
3/24/2010,MaxLinear ,MXL,Morgan Stanley/Deutsche Bank,$13.00 ,$17.00 ,$18.70 ,43.85%,$4.00 ,$5.70 ,3,
3/26/2010,China Lodging Group ,HTHT,Goldman Sachs/Morgan Stanley,$12.25 ,$13.50 ,$13.92 ,13.63%,$1.25 ,$1.67 ,2,
3/31/2010,Scorpio Tankers ,STNG,Morgan Stanley/ Dahlman Rose,$13.00 ,$12.90 ,$12.56 ,-3.38%,($0.10),($0.44),1,
3/31/2010,SS&C Technologies Holdings ,SSNC,J.P. Morgan,$15.00 ,$16.00 ,$15.08 ,0.53%,$1.00 ,$0.08 ,3,
3/31/2010,Meru Networks ,MERU,BofA Merrill Lynch,$15.00 ,$20.00 ,$19.17 ,27.80%,$5.00 ,$4.17 ,3,
4/1/2010,Primaerica ,PRI,Citi,$15.00 ,$19.15 ,$19.65 ,31.00%,$4.15 ,$4.65 ,2,
4/9/2010,Metals USA Holdings ,MUSA,Goldman Sachs,$21.00 ,$20.50 ,$19.20 ,-8.57%,($0.50),($1.80),3,Missed
4/9/2010,Tengion ,TNGN,Piper Jaffray/Leerink Swann,$5.00 ,$5.00 ,$5.02 ,0.40%,$0.00 ,$0.02 ,1,
4/16/2010,Chatham Lodging Trust ,CLDT,Barclays Capital,$20.00 ,$20.25 ,$20.50 ,2.50%,$0.25 ,$0.50 ,1,
4/22/2010,Codexis ,CDXS,Credit Suisse/Goldman Sachs,$13.00 ,$13.00 ,$13.26 ,2.00%,$0.00 ,$0.26 ,3,Missed
4/22/2010,DynaVox ,DVOX,Piper Jaffray/Jefferies,$15.00 ,$15.00 ,$15.00 ,0.00%,$0.00 ,$0.00 ,3,Missed
4/22/2010,Alimera Sciences ,ALIM,Credit Suisse/Citi,$11.00 ,$11.00 ,$11.00 ,0.00%,$0.00 ,$0.00 ,1,
4/22/2010,Global Geophysical Services ,GGS,Credit Suisse/Barclays Capital,$12.26 ,$12.00 ,$12.00 ,-2.12%,($0.26),($0.26),1,
4/22/2010,Mitel Networks ,MITL,BofA Merrill Lynch/J.P. Morgan/UBS Investment Bank,$14.00 ,$12.75 ,$12.30 ,-12.14%,($1.25),($1.70),1,
4/22/2010,SPS Commerce ,SPSC,Thomas Weisel Partners,$12.00 ,$14.00 ,$13.60 ,13.33%,$2.00 ,$1.60 ,3,
4/23/2010,Excel Trust ,EXL,Morgan Stanley/Barclays Capital/UBS Investment Trust,$14.00 ,$13.25 ,$13.30 ,-5.00%,($0.75),($0.70),1,
4/29/2010,Alpha and Omega Semiconductor ,AOSL,Deutsche Bank/Piper Jaffray,$18.00 ,$18.11 ,$17.70 ,-1.67%,$0.11 ,($0.30),2,Missed
4/29/2010,Convio ,CNVO,Thomas Weisel Partners/ Piper Jaffray,$9.00 ,$10.00 ,$10.24 ,13.78%,$1.00 ,$1.24 ,1,
4/30/2010,PAA Natural Gas Storage ,PNG,Barclays Capital/ UBS Investment Bank,$21.50 ,$22.50 ,$23.25 ,8.14%,$1.00 ,$1.75 ,2,
5/3/2010,S&W Seed ,SANWU,Paulson Investment/Feltl,$11.00 ,$10.89 ,$10.70 ,-2.73%,($0.11),($0.30),1,
5/5/2010,Charm Communications ,CHRM,Credit Suisse,$9.50 ,$9.51 ,$9.40 ,-1.05%,$0.01 ,($0.10),1,
5/5/2010,Douglas Dynamics ,PLOW,Credit Suisse/ Oppenheimer,$11.25 ,$22.26 ,$11.29 ,0.36%,$11.01 ,$0.04 ,1,
5/12/2010,Niska Gas Storage ,NKA,Goldman Sachs/Morgan Stanley,$20.50 ,$19.50 ,$19.10 ,-6.83%,($1.00),($1.40),2,Missed
5/13/2010,Express ,EXPR,BofA Merrill Lynch/Goldman Sachs,$17.00 ,$17.05 ,$16.75 ,-1.47%,$0.05 ,($0.25),1,
5/13/2010,Roadrunner Transportation Services Holdings ,RRTS,Baird/ BB&T Capital Markets/ Stifel Nicolaus,$14.00 ,$14.00 ,$13.75 ,-1.79%,$0.00 ,($0.25),1,
5/13/2010,TeleNav ,TNAV,J.P. Morgan/Deutsche Bank,$8.00 ,$9.00 ,$9.80 ,22.50%,$1.00 ,$1.80 ,1,
5/14/2010,JinkoSolar Holding ,JKS,Credit Suisse,$11.00 ,$11.00 ,$11.01 ,0.09%,$0.00 ,$0.01 ,1,
5/14/2010,Kingtone Wireless Soultion ,KONE,Roth Capital Partners,$4.00 ,$4.00 ,$3.94 ,-1.50%,$0.00 ,($0.06),1,
5/14/2010,Noranda Aluminum Holding ,NOR,BofA Merrill Lynch,$8.00 ,$8.30 ,$8.80 ,10.00%,$0.30 ,$0.80 ,1,
5/20/2010,57th Street Acquisiton ,SQTC.U,Morgan Joseph/Ladenburg Thalmann,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
5/20/2010,Accretive Health ,AH,Goldman Sachs/Credit Suisse,$12.00 ,$12.00 ,$12.74 ,6.17%,$0.00 ,$0.74 ,1,
5/20/2010,ReachLocal ,RLOC,J.P. Morgan/BofA Merrill Lynch,$13.00 ,$13.00 ,$12.66 ,-2.62%,$0.00 ,($0.34),1,
5/28/2010,GenMark Diagnostics ,GNMK,Piper Jaffray,$6.00 ,$6.00 ,$6.00 ,0.00%,$0.00 ,$0.00 ,1,
6/11/2010,China New Borun ,BOR N,Piper Jaffray,$7.00 ,$7.00 ,$7.00 ,0.00%,$0.00 ,$0.00 ,1,
6/15/2010,CBOE Holdings ,CBOE,Goldman Sachs,$29.00 ,$32.80 ,$32.49 ,12.03%,$3.80 ,$3.49 ,3,
6/16/2010,BroadSoft ,BSFT,Goldman Sachs/Jefferies,$9.00 ,$8.25 ,$8.30 ,-7.78%,($0.75),($0.70),2,Missed
6/17/2010,Higher One Holdings ,ONE,Goldman Sachs,$12.00 ,$13.50 ,$14.27 ,18.92%,$1.50 ,$2.27 ,1,
6/17/2010,Oasis Petroleum ,OAS,Morgan Stanley/UBS Investment Bank,$14.00 ,$14.85 ,$14.88 ,6.29%,$0.85 ,$0.88 ,1,
6/18/2010,China Intelligent Lighting & Electronics ,CIL,Rodman & Renshaw.WestPark Capital,$3.00 ,$2.85 ,$2.95 ,-1.67%,($0.15),($0.05),1,
6/18/2010,Motricity ,MOTR,J.P. Morgan/Golldman Sachs,$10.00 ,$9.89 ,$9.26 ,-7.40%,($0.11),($0.74),2,Missed
6/24/2010,Hudson Pacific Properties ,HPP,BofA Merrill Lych/Barclays Capital/Morgan Stanley,$17.00 ,$17.50 ,$17.40 ,2.35%,$0.50 ,$0.40 ,1,
6/25/2010,Fabrinet ,FN,Morgan Stanley/Deutsche Bank,$10.00 ,$10.95 ,$10.75 ,7.50%,$0.95 ,$0.75 ,1,
6/29/2010,Tesla Motors ,TSLA,"Goldman, Sachs/ Morgan Stanley/ J.P. Morgan/ Deutsche Bank Securities",$17.00 ,$19.00 ,$23.98 ,41.06%,$2.00 ,$6.98 ,3,
6/30/2010,HiSoft Technology International ,HSFT,Deutsche Bank,$10.00 ,$10.27 ,$10.40 ,4.00%,$0.27 ,$0.40 ,1,
7/1/2010,AutoNavi Holdings ,AMAP,Goldman Sachs,$12.50 ,$13.02 ,$13.50 ,8.00%,$0.52 ,$1.00 ,1,
7/14/2010,Oxford Resources Parntners L.P. ,OXF,Barclays Capital/Citi,$18.50 ,$18.25 ,$17.96 ,-2.92%,($0.25),($0.54),1,
7/15/2010,SMART Technologies ,SMT,Morgan Stanley/ Deutsche Bank Securities/ RBC Capital Markets/ BofA Merrill Lynch/ Credit Suisse,$17.00 ,$17.50 ,$17.05 ,0.29%,$0.50 ,$0.05 ,2,
7/16/2010,Qlink Technologies ,QLIK,Morgan Stanley/Citi/J.P. Morgan,$10.00 ,$12.00 ,$12.80 ,28.00%,$2.00 ,$2.80 ,3,
7/16/2010,RealD ,RLD,J.P. Morgan/Piper Jaffrey,$16.00 ,$19.55 ,$19.51 ,21.94%,$3.55 ,$3.51 ,3,
7/20/2010,Camelot Information Systems ,CIS,Goldman Sachs/Barclays Capital,$11.00 ,$10.01 ,$10.65 ,-3.18%,($0.99),($0.35),1,
7/22/2010,Ameresco ,AMRC,BofA Merril Lynch,$10.00 ,$10.33 ,$10.17 ,1.70%,$0.33 ,$0.17 ,1,
7/22/2010,Green Dot ,GDOT,J.P. Morgan/Morgan Stanlry,$36.00 ,$42.10 ,$43.99 ,22.19%,$6.10 ,$7.99 ,3,
7/29/2010,Chesapeake Midstream Partners ,CHKM,Citi/Morgan Stanley,$21.00 ,$22.25 ,$22.40 ,6.67%,$1.25 ,$1.40 ,1,
7/29/2010,Envestnet ,ENV,Morgan Stanley/UBS Investment Bank/Barclays Capital,$9.00 ,$9.35 ,$10.23 ,13.67%,$0.35 ,$1.23 ,1,
7/29/2010,Molycorp ,MCP,Morgan Stanley/J.P. Morgan,$14.00 ,$13.25 ,$12.85 ,-8.21%,($0.75),($1.15),1,
8/3/2010,Trius Therapeutics ,TSRX,Credit Suisse/Piper Jaffray,$5.00 ,$5.10 ,$5.00 ,0.00%,$0.10 ,$0.00 ,1,
8/5/2010,Ambow Education Holding,AMBO,J.P. Morgan/ Goldman Sachs (Asia),$10.00 ,$10.04 ,$9.25 ,-7.50%,$0.04 ,($0.75),2,Blowm
8/5/2010,Gordmans Stores,GMAD,Piper Jaffray/Wells Fargo Securities,$11.00 ,$11.00 ,$11.03 ,0.27%,$0.00 ,$0.03 ,2,Blowm
8/6/2010,Intralink Holdings ,IL,Morgan Stanley/Deutsche Bank/Credit Suisse,$13.00 ,$10.00 ,$9.61 ,-26.08%,($3.00),($3.39),1,
8/6/2010,NuPathe ,PATH,Leerink Swann/Lazard Capital Markets,$10.00 ,$10.04 ,$9.25 ,-7.50%,$0.04 ,($0.75),1,
8/6/2010,NXP Semiconductors NV ,NXPI,Credit Suisse/Goldman Sachs/Morgan Stanley,$14.00 ,$11.00 ,$11.03 ,-21.21%,($3.00),($2.97),1,
8/11/2010,China Kanghui Holdings ,KH,Morgan Stanley/ Piper Jaffray,$10.25 ,$10.29 ,$12.16 ,18.63%,$0.04 ,$1.91 ,1,
8/11/2010,MediaMind Technologies ,MDMD,J.P. Morgan/Deutsche Bank,$11.50 ,$10.50 ,$11.00 ,-4.35%,($1.00),($0.50),1,
8/12/2010,MakeMyTrip Limited ,MMYT,Morgan Stanley,$14.00 ,$22.00 ,$26.45 ,88.93%,$8.00 ,$12.45 ,1,Blowm
8/12/2010,RealPage ,RP,Credit Suisse/ Deutsche Bank Securities,$11.00 ,$13.00 ,$14.52 ,32.00%,$2.00 ,$3.52 ,1,
8/13/2010,Electromed,ELMD,Feltl and Company,$4.00 ,$4.05 ,$3.98 ,-0.50%,$0.05 ,($0.02),1,
8/26/2010,Whitestone REIT ,WSR,Wunderlich/Ladenburg Thalmann,$12.00 ,$12.00 ,$11.50 ,-4.17%,$0.00 ,($0.50),1,
9/17/2010,SouFun Holdings Limited ,SFUN,Deutsche Bank Securities/ Goldman Sachs (Asia) L.L.C,$42.50 ,$67.00 ,$73.50 ,72.94%,$24.50 ,$31.00 ,3,
9/23/2010,CoreSite Realty ,COR,Citi/BofA Merrill Lynch/RBC Capital Markets,$16.00 ,$16.00 ,$16.01 ,0.06%,$0.00 ,$0.01 ,1,
9/24/2010,SciQuest ,SQI,Stifel Nicolaus Weisel,$9.50 ,$11.50 ,$12.27 ,29.16%,$2.00 ,$2.77 ,2,
9/28/2010,Amyris ,AMRS,Morgan Stanley/Goldman Sachs/J.P. Morgan,$16.00 ,$16.50 ,$16.50 ,3.13%,$0.50 ,$0.50 ,1,
9/28/2010,Country Style Cooking Restaurant Chain ,CCSC,BofA Merrill Lynch/ Credit Suisse,$16.50 ,$25.00 ,$24.30 ,47.27%,$8.50 ,$7.80 ,3,
9/30/2010,Elster Group ,ELT,Deutsche Bank Securities,$13.00 ,$13.00 ,$13.75 ,5.77%,$0.00 ,$0.75 ,1,
9/30/2010,Rhino Resources Partners ,RNO,Raymond James,$20.50 ,$20.50 ,$21.10 ,2.93%,$0.00 ,$0.60 ,1,
10/1/2010,China Ming Yang Wind Power Group ,MY,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,$14.00 ,$14.15 ,$13.25 ,-5.36%,$0.15 ,($0.75),3,Missed
10/1/2010,ChinaCache International Holdings ,CCIH,BofA Merrill Lynch/ Deutsche Bank Securities,$13.90 ,$27.00 ,$27.15 ,95.32%,$13.10 ,$13.25 ,3,
10/1/2010,The KEYW Holding ,KEYW,SunTrust Robinson Humphrey,$10.00 ,$10.30 ,$11.38 ,13.80%,$0.30 ,$1.38 ,2,
10/7/2010,Daqo New Energy ,DQ,Morgan Stanley,$9.50 ,$9.98 ,$10.25 ,7.89%,$0.48 ,$0.75 ,1,
10/8/2010,Cazador Acquisition Corporation ,CAZAU,Rodman & Renshaw,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
10/8/2010,Ellington Financial LLC ,EFC,Deutsche Bank Securities,$22.50 ,$21.50 ,$21.75 ,-3.33%,($1.00),($0.75),1,
10/8/2010,Global Education & Technology Group ,GEDU,Credit Suisse/ BofA Merrill Lynch,$10.50 ,$12.00 ,$12.20 ,16.19%,$1.50 ,$1.70 ,3,
10/12/2010,Hicks Acquisition Company 11 ,HKACU,Citi/Deutsche Bank,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
10/14/2010,Campus Crest Communities ,CCG,"Raymond James/ Citi/ Goldman, Sachs/ Barclay Capital/ RBC Capital Markets",$12.50 ,$12.50 ,$12.51 ,0.08%,$0.00 ,$0.01 ,1,
10/15/2010,Body Central ,BODY,Piper Jaffray/ Jefferies & Company,$13.00 ,$14.49 ,$13.00 ,0.00%,$1.49 ,$0.00 ,2,
10/15/2010,Tower International ,TOWR,Goldman Sachs/Citi/J.P. Morgan,$13.00 ,$13.55 ,$13.00 ,0.00%,$0.55 ,$0.00 ,1,
10/19/2010,NetSpend Holdings ,NTSP,"Goldman, Sachs/ BofA Merrill Lynch/ William Blair",$11.00 ,$13.00 ,$13.00 ,18.18%,$2.00 ,$2.00 ,2,
10/19/2010,ShangPharma ,SHP,Citi/ J.P. Morgan,$15.00 ,$15.00 ,$12.75 ,-15.00%,$0.00 ,($2.25),3,Missed
10/20/2010,TAL Education Group ,XRS,Credit Suisse/ Morgan Stanley,$10.00 ,$14.00 ,$15.00 ,50.00%,$4.00 ,$5.00 ,2,
10/21/2010,Bravo Brio Restaurant Group ,BBRG,Jefferies & Company/ Piper Jaffray/ Wells Fargo Securities,$14.00 ,$14.50 ,$15.90 ,13.57%,$0.50 ,$1.90 ,2,
10/21/2010,Vera Bradley ,VRA,Baird/ Piper Jaffray,$16.00 ,$23.00 ,$24.85 ,55.31%,$7.00 ,$8.85 ,2,
10/22/2010,Aegerion Pharmaceuticals ,AEGR,Leerink Swann/ Lazard Capital Markets,$9.50 ,$10.00 ,$10.80 ,13.68%,$0.50 ,$1.30 ,1,
10/26/2010,Mecox Lane Limited ,MCOX,Credit Suisse/ UBS Investment Bank,$11.00 ,$17.50 ,$17.26 ,56.91%,$6.50 ,$6.26 ,3,
10/27/2010,Pacific Biosciences of California ,PACB,J.P.Morgan/ Morgan Stanley,$16.00 ,$16.50 ,$16.44 ,2.75%,$0.50 ,$0.44 ,1,
10/28/2010,ExamWorks Group ,EXAM,"Goldman, Sachs & Co./ Credit Suisse",$16.00 ,$16.75 ,$16.80 ,5.00%,$0.75 ,$0.80 ,2,
10/28/2010,SeaCube Container Leasing ,BOX,J.P. Morgan/ Citi/ Deutsche Bank Securities/ Wells Fargo Securities,$10.00 ,$11.00 ,$11.00 ,10.00%,$1.00 ,$1.00 ,1,
10/29/2010,Le Gaga Holdings Limited ,GAGA,BofA Merrill Lynch/ UBS Investment Bank,$9.50 ,$9.06 ,$11.26 ,18.53%,($0.44),$1.76 ,3,
11/2/2010,Xueda Education Group ,XUE,Goldman Sachs (Asia) L.L.C.,$9.50 ,$14.30 ,$12.50 ,31.58%,$4.80 ,$3.00 ,3,
11/3/2010,SinoTech Energy Limited ,CTE,Citi/ UBS Investment Bank/ Deutsche Bank Securities,$8.50 ,$8.50 ,$6.86 ,-19.29%,$0.00 ,($1.64),2,Missed
11/3/2010,SodaStream International Ltd. ,SODA,J.P. Morgan/ Deutsche Bank Securities,$20.00 ,$24.75 ,$24.12 ,20.60%,$4.75 ,$4.12 ,2,
11/4/2010,Costamare ,CMRE,Morgan Stanley/ BofA Merrill Lynch,$12.00 ,$12.02 ,$11.85 ,-1.25%,$0.02 ,($0.15),1,
11/5/2010,Primo Water ,PRMW,Stifel Nicolaus Weisel,$12.00 ,$14.86 ,$12.95 ,7.92%,$2.86 ,$0.95 ,1,
11/5/2010,The Fresh Market ,TFM,BofA Merrill Lynch/J.P. Morgan/Goldman Sachs,$22.00 ,$34.00 ,$32.11 ,45.95%,$12.00 ,$10.11 ,3,
11/10/2010,Noah Holdings Limited ,NOAH,J.P. Morgan/ BofA Merrill Lynch,$12.00 ,$15.00 ,$15.99 ,33.25%,$3.00 ,$3.99 ,3,
11/10/2010,RDA Microelectronics ,RDA,Morgan Stanley/ Credit Suisse,$9.00 ,$10.11 ,$10.75 ,19.44%,$1.11 ,$1.75 ,2,
11/11/2010,Complete Genomics ,GNOM,UBS Investment Bank/ Jefferies & Company,$9.00 ,$8.50 ,$8.03 ,-10.78%,($0.50),($0.97),1,
11/11/2010,Inph ,IPHI,Morgan Stanley.Deutsche Bank/Jefferies,$12.00 ,$15.13 ,$15.30 ,27.50%,$3.13 ,$3.30 ,3,
11/17/2010,Bitauto Holdings Limited ,BITA,Citi/ UBS Investment Bank,$12.00 ,$12.00 ,$12.45 ,3.75%,$0.00 ,$0.45 ,3,Missed
11/17/2010,Booz Allen & Hamilton ,BAH,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch Credit Suisse,$17.00 ,$17.26 ,$19.25 ,13.24%,$0.26 ,$2.25 ,2,
11/18/2010,General Motors Company ,GM,Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ Citi,$33.00 ,$35.00 ,$34.19 ,3.61%,$2.00 ,$1.19 ,3,
