Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
1/13/2011,American Assets Trust ,AAT,BofA Merrill Lynch/ Wells Fargo Securities/ Morgan Stanley,$20.50 ,$21.53 ,$21.25 ,3.66%,$1.03 ,$0.75 ,1,
1/26/2011,Demand Media ,DMD,"Goldman, Sachs/ Morgan Stanley",$17.00 ,$23.50 ,$22.68 ,33.41%,$6.50 ,$5.68 ,3,
1/26/2011,Nielsen ,NSLN,J.P. Morgan/Morgan Stanley,$23.00 ,$24.75 ,$25.01 ,8.74%,$1.75 ,$2.01 ,2,
1/28/2011,BankUnited  ,BKU,"Morgan Stanley/ BofA Merrill Lynch/ Deutsche Bank Securities/ Goldman, Sachs",$27.00 ,$29.60 ,$28.40 ,5.19%,$2.60 ,$1.40 ,3,
1/28/2011,BCD Semiconductor Manufacturing ,BCDS,Jefferies/ Stifel Nicolaus Weisel,$10.50 ,$10.52 ,$10.50 ,0.00%,$0.02 ,$0.00 ,3,Missed
1/28/2011,InterXion Holding N.V.  ,INXN,BofA Merrill Lynch/ Citi/ Barclays Capital,$13.00 ,$14.50 ,$13.80 ,6.15%,$1.50 ,$0.80 ,3,
1/28/2011,Adecoagro S.A.,AGRO,Credit Suisse/ Morgan Stanley/ Itau BBA / Deutsche Bank Securities,$11.00 ,$10.75 ,$12.00 ,9.09%,($0.25),$1.00 ,1,
2/2/2011,Epocrates ,EPOC,J.P.Morgan/ Piper Jaffray,$16.00 ,$20.00 ,$21.96 ,37.25%,$4.00 ,$5.96 ,3,
2/2/2011,NeoPhotonics ,NPTN,BofA Merrill Lynch/ Deutsche Bank Securities,$11.00 ,$14.00 ,$13.25 ,20.45%,$3.00 ,$2.25 ,3,
2/3/2011,Pacira Pharmaceuticals ,PCRX,Barclays Capital/ Piper Jaffray,$7.00 ,$7.00 ,$7.02 ,0.29%,$0.00 ,$0.02 ,1,
2/3/2011,Tornier B.V. ,TRNX,BofA Merrill Lynch/J.P. Morgan,$19.00 ,$19.00 ,$18.05 ,-5.00%,$0.00 ,($0.95),3,Missed
2/3/2011,Trunkbow International Holdings ,TBOW,Roth Capital Partners,$5.00 ,$4.65 ,$4.74 ,-5.20%,($0.35),($0.26),1,
2/4/2011,Endocyte ,ECYT,RBC Capital Markets/ Leerink Swann,$6.00 ,$6.40 ,$7.73 ,28.83%,$0.40 ,$1.73 ,1,
2/4/2011,BG Medicine ,BGMD,Lazard Capital Markets,$7.00 ,$7.38 ,$8.05 ,15.00%,$0.38 ,$1.05 ,1,
2/8/2011,China Century Dragon Media ,CDM,WestPark Capital/I-Bankers Securities,$5.25 ,$5.25 ,$5.30 ,0.95%,$0.00 ,$0.05 ,1,
2/8/2011,Imperial Holdings ,IFT,FBR Capital Markets,$10.75 ,$10.75 ,$10.81 ,0.56%,$0.00 ,$0.06 ,1,
2/9/2011,Gevo ,GEVO,UBS Investment Bank/ Piper Jaffray/ Citi,$15.00 ,$15.60 ,$16.44 ,9.60%,$0.60 ,$1.44 ,2,
2/9/2011,Summit Hotel Properties ,INN,Deutsche Bank Securities/ Baird/ RBC Capital Markets,$9.75 ,$9.90 ,$9.69 ,-0.62%,$0.15 ,($0.06),1,
2/10/2011,Fluidigm ,FLDM,Deutsche Bank Securities/ Piper Jaffray,$13.50 ,$13.50 ,$14.02 ,3.85%,$0.00 ,$0.52 ,1,
2/11/2011,AcelRx Pharmaceuticals ,ACRX,Piper Jaffray,$5.00 ,$5.00 ,$4.55 ,-9.00%,$0.00 ,($0.45),1,
2/11/2011,Kinder Morgan,KMI,"Goldman, Sachs/ Barclays Capital",$30.00 ,$31.70 ,$31.05 ,3.50%,$1.70 ,$1.05 ,2,
2/11/2011,Kips Bay Medical ,KIPS,"Rodman & Renshaw, LLC/ Newbridge Securities Corporation",$8.00 ,$8.00 ,$7.93 ,-0.88%,$0.00 ,($0.07),1,
2/15/2011,Zuoan Fashion Limited ,ZA,Cowen ,$7.00 ,$7.00 ,$7.04 ,0.57%,$0.00 ,$0.04 ,1,
2/16/2011,RLJ Acquisition ,RLJAU,Lazard Capital Markets,$10.00 ,$10.00 ,$10.02 ,0.20%,$0.00 ,$0.02 ,1,
2/22/2011,China VantagePoint Acquisition,CHVF,EarlyBirdCapital,$6.00 ,$5.99 ,$5.99 ,-0.17%,($0.01),($0.01),1,
2/25/2011,Solar Senior Capital Ltd. ,SUNS,Citi/ Wells Fargo Securities/ Deutsche Bank Securitie/ SunTrust Robinson Humphrey,$20.00 ,$19.70 ,$19.60 ,-2.00%,($0.30),($0.40),1,
3/10/2011,HCA Holdings  ,HCA,"BofA Merrill Lynch/ Citi/ J.P. Morgan/ Barclays Capital/ Credit Suisse/ Deutsche Bank Securities/ Goldman, Sachs/ Morgan Stanley/ Wells Fargo Securities",$30.00 ,$31.20 ,$31.02 ,3.40%,$1.20 ,$1.02 ,2,
3/11/2011,MagnaChip Semiconductor ,MX,Barclays Capital/ Deutsche Bank Securities,$14.00 ,$14.00 ,$14.01 ,0.07%,$0.00 ,$0.01 ,1,
3/17/2011,Cornerstone OnDemand ,CSOD,"Goldman, Sachs/ Barclays Capital",$13.00 ,$18.00 ,$19.07 ,46.69%,$5.00 ,$6.07 ,2,
3/21/2011,Lone Oak Acquisition ,LOKAF,EarlyBirdCapita,$8.00 ,$8.03 ,$7.98 ,-0.25%,$0.03 ,($0.02),1,
3/25/2011,ServiceSource International ,SREV,Morgan Stanley/ Deutsche Bank Securities,$10.00 ,$13.65 ,$12.18 ,21.80%,$3.65 ,$2.18 ,3,
3/25/2011,Prime Acquisition ,PACQU,Chardan Capital Markets,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
